review_group,match_reason,boat_id,raw_name,raw_sail_number,raw_class,total_results,first_year,last_year,suggested_canonical_boat_name,suggested_canonical_sail_number,confidence,decision,notes
name:ping,same_normalized_name,5,Ping,415,Sonar,103,2011,2015,Ping,754,high,,
name:ping,same_normalized_name,45,Ping,754,Sonar,139,2015,2025,Ping,754,high,,
name:ping,same_normalized_name,218,Ping,XXX,Sonar,1,2011,2011,Ping,754,high,,
name:tsunami,same_normalized_name,236,Tsunami,14,Bluenose,3,1999,1999,Tsunami,428,high,,
name:tsunami,same_normalized_name,42,Tsunami,428,C&C 24,113,2001,2020,Tsunami,428,high,,
name:tsunami,same_normalized_name,137,Tsunami,98,Mirage 25,1,2022,2022,Tsunami,428,high,,
name:badbluej,same_normalized_name,176,Bad Blue J,31587,J/29 I/B,54,2007,2008,Bad Blue J,31587,high,,
name:badbluej,same_normalized_name,280,Bad Blue J,31887,J/29 I/B,1,2007,2007,Bad Blue J,31587,high,,
name:wandrian,same_normalized_name,146,Wandrian,1001,Frers Cat/Ketch,2,2023,2025,Wandrian,50141,high,,
name:wandrian,same_normalized_name,124,Wandrian,109,Ben 36.7,3,2020,2021,Wandrian,50141,high,,
name:wandrian,same_normalized_name,205,Wandrian,30406,Taylor 41,1,2010,2010,Wandrian,50141,high,,
name:wandrian,same_normalized_name,28,Wandrian,50141,Taylor 41,43,2010,2019,Wandrian,50141,high,,
name:buccaneer,same_normalized_name,237,Buccaneer,1802,Shark,9,1999,1999,Buccaneer,1802,high,,
name:buccaneer,same_normalized_name,193,Buccaneer,34289,Kirby 30,3,2009,2010,Buccaneer,1802,high,,
name:noname,same_normalized_name,265,No Name,31297,S2 7.9 IB,9,2004,2004,No Name,31297,high,,
name:noname,same_normalized_name,247,No Name,329,J-29,1,2000,2000,No Name,31297,high,,
name:noname,same_normalized_name,253,No Name,40329,J/29,2,2000,2000,No Name,31297,high,,
name:sonar,same_normalized_name,281,Sonar,366,Sonar,8,2007,2007,Sonar,366,high,,
name:sonar,same_normalized_name,279,Sonar,489,Sonar,3,2007,2007,Sonar,366,high,,
name:westwind,same_normalized_name,214,Westwind,,,2,2011,2011,Westwind,WW2,high,,
name:westwind,same_normalized_name,194,Westwind,WW2,Westwind,4,2009,2011,Westwind,WW2,high,,
name:westwind,same_normalized_name,204,Westwind,WWII,Westwind II,1,2010,2010,Westwind,WW2,high,,
sail:366,same_cleaned_sail_number,181,Awesome 2.0,366,Sonar,230,2007,2013,Awesome 2.0,366,medium,,
sail:366,same_cleaned_sail_number,29,Greg B.,366,Sonar,13,2014,2015,Awesome 2.0,366,medium,,
sail:366,same_cleaned_sail_number,12,Sail 366,366,,20,2014,2014,Awesome 2.0,366,medium,,
sail:366,same_cleaned_sail_number,80,So-Gnarly,366,Sonar,32,2017,2020,Awesome 2.0,366,medium,,
sail:366,same_cleaned_sail_number,281,Sonar,366,Sonar,8,2007,2007,Awesome 2.0,366,medium,,
sail:415,same_cleaned_sail_number,50,Pi,415,Sonar,76,2015,2025,Ping,415,medium,,
sail:415,same_cleaned_sail_number,5,Ping,415,Sonar,103,2011,2015,Ping,415,medium,,
sail:31587,same_cleaned_sail_number,176,Bad Blue J,31587,J/29 I/B,54,2007,2008,Winter Project,31587,medium,,
sail:31587,same_cleaned_sail_number,191,Minimum Payment,31587,J/29 I/B,60,2009,2011,Winter Project,31587,medium,,
sail:31587,same_cleaned_sail_number,37,Winter Project,31587,J/29 I/B,71,2012,2014,Winter Project,31587,medium,,
sail:624,same_cleaned_sail_number,54,Fighting Haddock,624,Sonar,12,2015,2015,Martha Jane,624,medium,,
