raw_class,suggested_canonical_class,class_kind,boat_count,example_boats,decision,notes
Sonar,Sonar,design,50,482 | 489 | 652 | ???? | Awesome 2.0 | Barbarian | Batty Koda | Bella Rona,,
J/29,J/29,design,34,329 | Bad Blue J | C'est La Vie | Chaos | Colmonel | Colmonell | Dog Party | Feed Me,,
IOD,IOD,design,27,Aileen | Bella | Blue | Coachman | Elida | Enigma | Ghost | IBIS,,
J/24,J/24,design,16,"Adrenaline Rush | Chebucto | Dot Com | Isleview | Isleview ""LTS"" | Isleville | Jammin' | Jamming",,
J/29 O/B,J/29 O/B,design,10,CHAOS | Gosling | Gosling (NABS) | Groucho | Hakuna Matata | JAEGAR | Paradigm Shift | Paridigm Shift,,
A3/15,A3/15,rating_band,9,Agent 99 | Crackerjack!! | Five of Harts | J 35 | J Hawk | J'ai Tu | MacIntosh | McMac,,
CS30,CS30,design,7,Andrea 3 | Free Spirits | Freespirit | Sea Fever | Shirley Faye | Tom Barkley | Tom Barkley **,,
J/105,J/105,design,7,Andrea 5 | Andrea 5 of Sunnybrook | Buzz 105 | MicMAC | Mojo | V-tack | VTac,,
Kirby 25,Kirby 25,design,7,Awesome | Awsome | BRIGAND | Spare Change | Status Symbol,,
J/29 I/B,J/29 I/B,design,5,Bad Blue J | Minimum Payment | Rumble Fish | Winter Project,,
J/100,J/100,design,4,Moxie | Second Shift,,
J/27,J/27,design,4,Boat | Buzz | Plane Jane,,
Kirby 30,Kirby 30,design,4,Buccaneer | Digby Chix | Rossignol,,
Nautilus-36,Nautilus-36,design,4,Annapolisa,,
A3/16,A3/16,rating_band,3,AXIS | Razzmatazz | Sail La Vi,,
C&C 25,C&C 25,design,3,Enchantress,,
C&C99,C&C99,design,3,Andrea 6 | Andrea 7 | Ocean Trek,,
D3/19,D3/19,rating_band,3,Favorite Child | Jaeger | Stela Maris,,
J/30,J/30,design,3,Andrea | Andrea 4 | Andrea IV,,
K25,K25,design,3,Beatnik | Group 4 | Group X,,
Mirage 25,Mirage 25,design,3,Tsunami | Tsunami 3 | Windstar,,
S2 7.9,S2 7.9,design,3,WAI WHARE,,
Bluenose,Bluenose,design,2,Mahaska | Tsunami,,
D3/18,D3/18,rating_band,2,Persistence | Wildthing VI,,
Etchells,Etchells,design,2,Crest | KC-15,,
Farr 30,Farr 30,design,2,LOKI | Tangley,,
J/22,J/22,design,2,Kahlua | Oh Yeah,,
J/35,J/35,design,2,Falcon | J(2),,
J/70,J/70,design,2,Boost | Jmo,,
J/80,J/80,design,2,Sophia | Still Magnetic,,
J/88,J/88,design,2,Deep Bight | Playmate,,
J/92,J/92,design,2,Jabble | Poohsticks,,
Nonsuch 36,Nonsuch 36,design,2,Captain Haddock | Nonsuch Blue,,
S2 7.9 IB,S2 7.9 IB,design,2,Bad Cat Paws | No Name,,
Shark,Shark,design,2,Ananda | Buccaneer,,
Swan 57,Swan 57,design,2,Odessey | Odyssey,,
Taylor 41,Taylor 41,design,2,Wandrian,,
Viper,Viper,design,2,Thin Ice | Viper,,
A3/17,A3/17,rating_band,1,Sou'Wester,,
Ben 36.7,Ben 36.7,design,1,Wandrian,,
Beneteau,Beneteau,design,1,Wild Thing,,
Beneteau 305,Beneteau 305,design,1,Osprey,,
Beneteau 373,Beneteau 373,design,1,B's Nest,,
Benneteau 28.5,Benneteau 28.5,design,1,Day Dreamer,,
C & C 24,C & C 24,design,1,Tantivy,,
C & C 30,C & C 30,design,1,Spindrift,,
C&C 115,C&C 115,design,1,Triumph,,
C&C 24,C&C 24,design,1,Tsunami,,
C&C 29-2,C&C 29-2,design,1,Second Chance,,
C&C 30,C&C 30,design,1,Armada,,
C&C 30 MK II,C&C 30 MK II,design,1,30051,,
C&C 30 MkII??,C&C 30 MkII??,design,1,BlackHull,,
C&C 32,C&C 32,design,1,Magic Flute,,
C&C 33-II,C&C 33-II,design,1,Pelagic,,
C&C 34,C&C 34,design,1,Magic Swirling Ship,,
C&C 39,C&C 39,design,1,Marita IV,,
Cat,Cat,design,1,Spirit,,
Catalina 27,Catalina 27,design,1,Boy Toy,,
Chaser 29 Mod,Chaser 29 Mod,design,1,Sly Fox,,
Chaser 29 Mod.,Chaser 29 Mod.,design,1,Sly Fox,,
Colgate 26,Colgate 26,design,1,Watercab,,
Contessa 35,Contessa 35,design,1,Pasadena,,
CS 30,CS 30,design,1,Sea Fever,,
E22,E22,design,1,SANGSARA,,
Etchells 22,Etchells 22,design,1,KC15,,
Etchells-22,Etchells-22,design,1,Etchells,,
Etchels 22,Etchels 22,design,1,Crest,,
Far 30,Far 30,design,1,Yardsail,,
Folk Boat,Folk Boat,design,1,Skierkert,,
Frers 40,Frers 40,design,1,Vixen,,
Frers Cat/Ketch,Frers Cat/Ketch,design,1,Wandrian,,
Grampion Mod.,Grampion Mod.,design,1,Sea Salt,,
Hughes 38,Hughes 38,design,1,Galatea V,,
Hunter 306,Hunter 306,design,1,Zorba II,,
J 29,J 29,design,1,Gosling,,
J29Fr ODR,J29Fr ODR,design,1,Scotch Mist,,
Krogen 38,Krogen 38,design,1,Alcala,,
Mega 30,Mega 30,design,1,Topaz,,
Newport 28,Newport 28,design,1,Big Fish,,
Niagra 30,Niagra 30,design,1,Margarita,,
Nonsuch 30,Nonsuch 30,design,1,Liberty,,
NorthStar 500,NorthStar 500,design,1,Jennika,,
Oceanis 34,Oceanis 34,design,1,Some Nice,,
Olson 29,Olson 29,design,1,Hot Mess,,
Ooen 40,Ooen 40,design,1,Impulse,,
Santana 35,Santana 35,design,1,FUBAR,,
Schooner,Schooner,design,1,Calanova,,
Seafarer,Seafarer,design,1,Eileen,,
Soling,Soling,design,1,MAAD MA,,
Tanzer 8.5,Tanzer 8.5,design,1,Possum,,
Tartan Ten,Tartan Ten,design,1,Scotch On The Rocks,,
Westwind,Westwind,design,1,Westwind,,
Westwind II,Westwind II,design,1,Westwind,,
Westwind II Custom,Westwind II Custom,design,1,Westwind II,,
