review_group,candidate_a_boat_id,candidate_a_name,candidate_a_sail_number,candidate_a_class,candidate_b_boat_id,candidate_b_name,candidate_b_sail_number,candidate_b_class,match_reason,confidence,decision,reviewer,notes
name:slyfox,318,Sly Fox,34142,Chaser 29 Mod.,325,Sly Fox,99,Chaser 29 Mod,same_normalized_name,high,,,
name:awesome,278,Awesome,203,Kirby 25,308,Awesome,293,Kirby 25,same_normalized_name,high,,,
name:seafever,173,Sea Fever,366,,202,Sea Fever,?????,CS30,same_normalized_name,high,,,
name:seafever,173,Sea Fever,366,,317,Sea Fever,4514,CS 30,same_normalized_name,high,,,
name:seafever,202,Sea Fever,?????,CS30,317,Sea Fever,4514,CS 30,same_normalized_name,high,,,
name:ping,15,Ping,415,Sonar,26,Ping,754,Sonar,same_normalized_name,high,,,
name:ping,15,Ping,415,Sonar,249,Ping,XXX,Sonar,same_normalized_name,high,,,
name:ping,26,Ping,754,Sonar,249,Ping,XXX,Sonar,same_normalized_name,high,,,
name:shenanagans,12,Shenanagans,425,Sonar,272,Shenanagans,136,Sonar,same_normalized_name,high,,,
name:tsunami,22,Tsunami,428,C&C 24,140,Tsunami,98,Mirage 25,same_normalized_name,high,,,
name:tsunami,22,Tsunami,428,C&C 24,285,Tsunami,14,Bluenose,same_normalized_name,high,,,
name:tsunami,140,Tsunami,98,Mirage 25,285,Tsunami,14,Bluenose,same_normalized_name,high,,,
name:buzz,50,Buzz,7049,J/27,57,Buzz,1418,J/27,same_normalized_name,high,,,
name:wandrian,7,Wandrian,50141,Taylor 41,126,Wandrian,109,Ben 36.7,same_normalized_name,high,,,
name:wandrian,7,Wandrian,50141,Taylor 41,151,Wandrian,1001,Frers Cat/Ketch,same_normalized_name,high,,,
name:wandrian,7,Wandrian,50141,Taylor 41,223,Wandrian,30406,Taylor 41,same_normalized_name,high,,,
name:wandrian,126,Wandrian,109,Ben 36.7,151,Wandrian,1001,Frers Cat/Ketch,same_normalized_name,high,,,
name:wandrian,126,Wandrian,109,Ben 36.7,223,Wandrian,30406,Taylor 41,same_normalized_name,high,,,
