event_id,year,event_name,event_type,source_file,participants,helm_participants,boat_participants,oneoff_participants,helm_ratio,oneoff_ratio,suggested_special_kind,suggested_exclude_from_handicap_stats,reasons,decision,notes
1167,2000,Merrill Lynch Regatta,trophy,/Users/grahammann/Coding/lyc-racing-data/racing1999_2013/racing2000/J29_Regatta_results.htm,10,0,10,9,0.0,0.9,special_external,yes,special_external_keyword,,
1091,2012,LYC Handicap - Mahone Bay Regatta,trophy,racing1999_2013/racing2012/mahone_bay.htm,5,0,5,3,0.0,0.6,special_external,yes,special_external_keyword,,
299,2011,LYC Handicap - LYC Race Week in a Day 2011,championship,racing1999_2013/racing2011/RWIAD11.htm,8,0,8,1,0.0,0.125,special_local,yes,event_type_championship | special_local_keyword,,
1045,2011,LYC Handicap - LYC Race Week in a Day 2011,championship,racing1999_2013/racing2011/RWIAD11.htm,8,0,8,1,0.0,0.125,special_local,yes,event_type_championship | special_local_keyword,,
137,2018,2018 Sail East - Lunenburg Yacht Club,trophy,racing2014_2025/racing2018/sail_east.htm,138,138,0,0,1.0,0.0,special_local,yes,special_local_keyword | helm_dominated_large_event,,
872,2018,2018 Sail East - Lunenburg Yacht Club,trophy,racing2014_2025/racing2018/sail_east.htm,138,138,0,0,1.0,0.0,special_local,yes,special_local_keyword | helm_dominated_large_event,,
1,2014,2014 Canadian Optimist Dinghy Championships - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014OptiChamp.htm,91,91,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
736,2014,2014 Canadian Optimist Dinghy Championships - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014OptiChamp.htm,91,91,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
115,2017,LYC LTS Junior Sailing Regatta - Sail Fest Alpha 2017,championship,racing2014_2025/racing2017/sailfestalpha2017.htm,43,43,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
850,2017,LYC LTS Junior Sailing Regatta - Sail Fest Alpha 2017,championship,racing2014_2025/racing2017/sailfestalpha2017.htm,43,43,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
2,2014,2014 Canadian Optimist Dinghy Championships - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014OptiGreen.htm,30,30,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
3,2014,2014 Canadian Optimist Dinghy Championships - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014OptiGreen_coach.htm,30,30,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
737,2014,2014 Canadian Optimist Dinghy Championships - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014OptiGreen.htm,30,30,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
738,2014,2014 Canadian Optimist Dinghy Championships - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014OptiGreen_coach.htm,30,30,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
116,2017,LYC LTS Junior Sailing Regatta - Sail Fest Bravo 2017,championship,racing2014_2025/racing2017/sailfestbravo2017.htm,29,29,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
851,2017,LYC LTS Junior Sailing Regatta - Sail Fest Bravo 2017,championship,racing2014_2025/racing2017/sailfestbravo2017.htm,29,29,0,0,1.0,0.0,special_external,yes,event_type_championship | special_external_keyword | helm_dominated_large_event,,
156,2019,CRW 2015-19 - Chester,trophy,racing2014_2025/racing2019/poohsticks_CRW.htm,24,0,24,0,0.0,0.0,special_external,yes,special_external_keyword,,
891,2019,CRW 2015-19 - Chester,trophy,racing2014_2025/racing2019/poohsticks_CRW.htm,24,0,24,0,0.0,0.0,special_external,yes,special_external_keyword,,
4,2014,2014 SONAR North American Championship - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014SonarNA.htm,21,0,21,0,0.0,0.0,special_external,yes,event_type_championship | special_external_keyword,,
5,2014,2014 SONAR North American Championship - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014SonarNA_all.htm,21,0,21,0,0.0,0.0,special_external,yes,event_type_championship | special_external_keyword,,
739,2014,2014 SONAR North American Championship - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014SonarNA.htm,21,0,21,0,0.0,0.0,special_external,yes,event_type_championship | special_external_keyword,,
740,2014,2014 SONAR North American Championship - Lunenburg Yacht Club,championship,racing2014_2025/racing2014/2014SonarNA_all.htm,21,0,21,0,0.0,0.0,special_external,yes,event_type_championship | special_external_keyword,,
