path,year,file_type,page_classification,page_role,title,notes
racing2000/MVC-002S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-002S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-003S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-003S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-004S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-004S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-005S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-005S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-006S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-006S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-007S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-007S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-008S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-008S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-009S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-009S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-010S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-010S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-011S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-011S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-012S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-012S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-013S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-013S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-014S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-014S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-015S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-015S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-016S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-016S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-017S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-017S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-018S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-018S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-019S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-019S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-020S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-020S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-021S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-021S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-022S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-022S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-034S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-034S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/MVC-035S.JPG,2000,image,binary-asset,asset,,
racing2000/MVC-035S_thumb.jpg,2000,image,binary-asset,asset,,
racing2000/index2.htm,2000,html,unknown,unknown,Thumbnails,
racing2005/NS_Opti_Champs05.jpg,2005,image,binary-asset,asset,,
racing2005/j29_aug_05_files/J29%20Results_14153_image002.jpg,2005,image,binary-asset,asset,,
racing2005/j29_aug_05_files/J29%20Results_14153_image004.jpg,2005,image,binary-asset,asset,,
racing2005/j29_aug_05_files/J29%20Results_14153_image006.jpg,2005,image,binary-asset,asset,,
racing2005/j29_aug_05_files/J29%20Results_14153_image008.jpg,2005,image,binary-asset,asset,,
racing2006/http:/www.lyc.ns.ca/racing/racing2006/2006_Sailing_Instructions.htm,2006,html,non-result-html,unknown,Lunenburg Yacht Club,
racing2006/lyc_crest.gif,2006,image,binary-asset,asset,,
racing2006/optimist.jpg,2006,image,binary-asset,asset,,
racing2006/results_files/J29%20Results_18755_image002.jpg,2006,image,binary-asset,asset,,
racing2006/results_files/J29%20Results_18755_image004.jpg,2006,image,binary-asset,asset,,
racing2006/results_files/J29%20Results_18755_image006.jpg,2006,image,binary-asset,asset,,
racing2006/results_files/J29%20Results_18755_image008.jpg,2006,image,binary-asset,asset,,
racing2007/image/but_home.gif,2007,image,binary-asset,asset,,
racing2007/image/but_next.gif,2007,image,binary-asset,asset,,
racing2007/mvc-001s.htm,2007,html,unknown,unknown,mvc-001s,
racing2007/optimist.jpg,2007,image,binary-asset,asset,,
racing2009/http:/www.lyc.ns.ca/racing/racing2009/BMW.jpg,2009,image,binary-asset,asset,,
racing2009/http:/www.lyc.ns.ca/racing/racing2009/lyc_crest.gif,2009,image,binary-asset,asset,,
racing2011/inc/data.js,2011,other,binary-asset,asset,,
racing2011/inc/logic.js,2011,other,binary-asset,asset,,
racing2012/LYC%20Sailing%20Instructions%202012.doc,2012,doc,document,asset,,
racing2012/NOR%20LYC%20RWIAD%202012.pdf,2012,pdf,document,asset,,
