year,event,course,distance_nm,race_date,wind_kts,wind_band,boat,sail,boat_class,phrf_rating,elapsed,elapsed_s,phrf_corrected,phrf_corrected_s,phrf_rank_overall,phrf_rank_in_covered,cert_ref,cert_class,orc_tot_used,orc_corrected,orc_corrected_s,orc_rank
2014,LYC Handicap - Boland's Cup,Boland's Cup,16.7,27/07/14,12.6,medium,Playmate,19,J/88,81,2:32:00,9120,2:54:19,10459,1,1,,,,,,
2014,LYC Handicap - Boland's Cup,Boland's Cup,16.7,27/07/14,12.6,medium,Shenanagans,425,Sonar,168,2:58:24,10704,2:58:55,10735,2,1,043900036AB,Sonar,0.9069,2:41:47,9707.5,1
2014,LYC Handicap - Boland's Cup,Boland's Cup,16.7,27/07/14,12.6,medium,Gosling,42634,J/29 O/B,104,2:41:57,9717,2:58:57,10737,3,2,03880001H3B,J 29 𝕚,1.0246,2:45:56,9956.0,4
2014,LYC Handicap - Boland's Cup,Boland's Cup,16.7,27/07/14,12.6,medium,Ping,415,Sonar,168,2:58:52,10732,2:59:23,10763,4,3,043900036AB,Sonar,0.9069,2:42:13,9732.9,2
2014,LYC Handicap - Boland's Cup,Boland's Cup,16.7,27/07/14,12.6,medium,Sly Fox,34142,Chaser 29 Mod.,154,2:57:37,10657,3:01:48,10908,5,5,,,,,,
2014,LYC Handicap - Boland's Cup,Boland's Cup,16.7,27/07/14,12.6,medium,Armada,20320,C&C 30,175,3:03:28,11008,3:02:09,10929,6,6,,,,,,
2014,LYC Handicap - Boland's Cup,Boland's Cup,16.7,27/07/14,12.6,medium,Echo,571,Sonar,168,3:02:27,10947,3:02:59,10979,7,4,043900036AB,Sonar,0.9069,2:45:28,9927.8,3
2014,LYC Handicap - Boland's Cup,Boland's Cup,16.7,27/07/14,12.6,medium,Scotch Mist,34429,J/29 O/B,106,2:46:59,10019,3:03:55,11035,8,5,03880001H3B,J 29 𝕚,1.0246,2:51:05,10265.5,5
2014,LYC Handicap - Boland's Cup,Boland's Cup,16.7,27/07/14,12.6,medium,Big Fish,40930,Newport 28,243,3:24:54,12294,3:05:25,11125,9,9,,,,,,
2014,LYC Handicap - Leeward Island Trophy,Leeward Island,14.2,22/06/14,4.7,low,Playmate,19,J/88,81,2:52:18,10338,3:17:36,11856,1,1,,,,,,
2014,LYC Handicap - Leeward Island Trophy,Leeward Island,14.2,22/06/14,4.7,low,Shenanagans,425,Sonar,168,3:26:57,12417,3:27:33,12453,2,1,043900036AB,Sonar,0.6994,2:24:44,8684.4,1
2014,LYC Handicap - Leeward Island Trophy,Leeward Island,14.2,22/06/14,4.7,low,Poohsticks,8,J/92,98,3:07:49,11269,3:29:31,12571,3,2,03360002EWV,J 92,0.8479,2:39:15,9555.0,2
2014,LYC Handicap - Leeward Island Trophy,Leeward Island,14.2,22/06/14,4.7,low,Winter Project,31587,J/29 I/B,122,3:15:09,11709,3:29:38,12578,4,4,,,,,,
2014,LYC Handicap - RG Smith Trophy (Tancook Race ),RG Smith (Tancook),22.2,31/08/14,11.9,medium,Winter Project,31587,J/29 I/B,124,3:29:54,12594,3:44:47,13487,1,1,,,,,,
