path,year,era,classification,page_role,status,title,notes
racing1999_2013/racing1999/bolands.htm,1999,legacy,legacy-result,canonical,loaded,Bolands Cup,
racing1999_2013/racing1999/charter.htm,1999,legacy,legacy-result,canonical,loaded,Charter Cup,
racing1999_2013/racing1999/commodore.htm,1999,legacy,legacy-result,canonical,loaded,Commodore's Cup,
racing1999_2013/racing1999/craftfest.htm,1999,legacy,legacy-result,canonical,loaded,Craft Festival Race,
racing1999_2013/racing1999/cruisers1.htm,1999,legacy,legacy-result,canonical,loaded,Cruisers' Trophy Series,
racing1999_2013/racing1999/cruisers2.htm,1999,legacy,legacy-result,canonical,loaded,Cruiser's Trophy,
racing1999_2013/racing1999/cruisers3.htm,1999,legacy,legacy-result,canonical,loaded,Cruiser's Trophy,
racing1999_2013/racing1999/cruisers4.htm,1999,legacy,legacy-result,canonical,loaded,Cruiser's Trophy,
racing1999_2013/racing1999/fishex.htm,1999,legacy,legacy-result,canonical,loaded,Fisheries Exhibition Race,
racing1999_2013/racing1999/friday1.htm,1999,legacy,legacy-result,canonical,loaded,Friday Night Fun Race #1,
racing1999_2013/racing1999/friday2.htm,1999,legacy,legacy-result,canonical,loaded,Friday Night Fun Race #2,
racing1999_2013/racing1999/friday3.htm,1999,legacy,legacy-result,canonical,loaded,Friday Night Fun Race #3,
racing1999_2013/racing1999/friday4.htm,1999,legacy,legacy-result,canonical,loaded,Friday Night Fun Race #4,
racing1999_2013/racing1999/glube.htm,1999,legacy,legacy-result,canonical,loaded,Glube Series,
racing1999_2013/racing1999/glube2.htm,1999,legacy,legacy-result,canonical,loaded,Glube Series,
racing1999_2013/racing1999/glube3.htm,1999,legacy,legacy-result,canonical,loaded,Glube Series,
racing1999_2013/racing1999/glube4.htm,1999,legacy,legacy-result,canonical,loaded,Glube Series,
racing1999_2013/racing1999/ladieshelm.htm,1999,legacy,legacy-result,canonical,loaded,Ladies Helm Race,
racing1999_2013/racing1999/leeward.htm,1999,legacy,legacy-result,canonical,loaded,Leeward Island Race,
racing1999_2013/racing1999/martinfielding.htm,1999,legacy,legacy-result,canonical,loaded,Martin Fielding Tray,
racing1999_2013/racing1999/ocean.htm,1999,legacy,legacy-result,canonical,loaded,Ocean Tray,
racing1999_2013/racing1999/opening.htm,1999,legacy,legacy-result,canonical,loaded,Opening Regatta,
racing1999_2013/racing1999/paceship1.htm,1999,legacy,legacy-result,canonical,loaded,Paceship Series,
racing1999_2013/racing1999/paceship2.htm,1999,legacy,legacy-result,canonical,loaded,Paceship Series,
racing1999_2013/racing1999/paceship3.htm,1999,legacy,legacy-result,canonical,loaded,Paceship Series,
racing1999_2013/racing1999/paceship4.htm,1999,legacy,legacy-result,canonical,loaded,Paceship Series,
racing1999_2013/racing1999/photos.htm,1999,legacy,gallery,gallery,skipped,LYC Racing Photos,
racing1999_2013/racing1999/racing.htm,1999,legacy,legacy-index,index,skipped,Lunenburg Yacht Club Racing 1999,
racing1999_2013/racing1999/sable.htm,1999,legacy,legacy-result,canonical,loaded,Sable Sailmaker,
racing1999_2013/racing1999/scotiatrawler.htm,1999,legacy,legacy-result,canonical,loaded,Scotia Trawler Series,
racing1999_2013/racing1999/scotiatrawler1.htm,1999,legacy,legacy-result,canonical,loaded,Scotia Trawler Series,
racing1999_2013/racing1999/scotiatrawler2.htm,1999,legacy,legacy-result,canonical,loaded,Scotia Trawler Series,
racing1999_2013/racing1999/scotiatrawler3.htm,1999,legacy,legacy-result,canonical,loaded,Scotia Trawler Series,
racing1999_2013/racing1999/scotiatrawler4.htm,1999,legacy,legacy-result,canonical,loaded,Scotia Trawler Series,
racing1999_2013/racing1999/tancook.htm,1999,legacy,legacy-result,canonical,loaded,R.G. Smith Tancook Island Race,
racing1999_2013/racing1999/thrash.htm,1999,legacy,legacy-result,canonical,loaded,T.H.R.A.S.H.,
racing1999_2013/racing2000/2000race_instructions.htm,2000,legacy,legacy-result,canonical,result-not-loaded,2000 Racing Instructions,
racing1999_2013/racing2000/J29_Regatta_results.htm,2000,legacy,legacy-result,canonical,loaded,Merrill Lynch,
racing1999_2013/racing2000/LYC_2000_Handicap_System.htm,2000,legacy,legacy-result,canonical,result-not-loaded,LYC HANDICAPPING,
racing1999_2013/racing2000/bolands.htm,2000,legacy,legacy-result,canonical,loaded,BOLAND'S CUP,
racing1999_2013/racing2000/cap_morgan.htm,2000,legacy,legacy-result,canonical,result-not-loaded,Captain Morgan Trophy,
racing1999_2013/racing2000/charter.htm,2000,legacy,legacy-result,canonical,loaded,Charter Cup,
racing1999_2013/racing2000/commodores_cup.htm,2000,legacy,legacy-result,canonical,loaded,COMMODORES CUP,
racing1999_2013/racing2000/craft_festival1.htm,2000,legacy,legacy-result,canonical,loaded,Craft Festival Series,
racing1999_2013/racing2000/craft_festival2.htm,2000,legacy,legacy-result,canonical,loaded,Craft Festival Series,
racing1999_2013/racing2000/crown_diamond.htm,2000,legacy,legacy-result,canonical,loaded,Crown Diamond Trophy,
racing1999_2013/racing2000/fall1.htm,2000,legacy,legacy-result,canonical,loaded,Fall Series,
racing1999_2013/racing2000/fall2.htm,2000,legacy,legacy-result,canonical,loaded,Fall Series,
racing1999_2013/racing2000/fall3.htm,2000,legacy,legacy-result,canonical,loaded,Fall Series,
racing1999_2013/racing2000/fisheries.htm,2000,legacy,legacy-result,canonical,loaded,Fisheries Exhibition Trophy,
racing1999_2013/racing2000/glube.htm,2000,legacy,legacy-result,canonical,loaded,GLUBE SERIE,
racing1999_2013/racing2000/glube2.htm,2000,legacy,legacy-result,canonical,loaded,GLUBE SERIE,
racing1999_2013/racing2000/glube3.htm,2000,legacy,legacy-result,canonical,loaded,GLUBE SERIE,
racing1999_2013/racing2000/glube4.htm,2000,legacy,legacy-result,canonical,loaded,GLUBE SERIE,
racing1999_2013/racing2000/glube_series.htm,2000,legacy,legacy-result,canonical,loaded,GLUBE SERIES,
racing1999_2013/racing2000/highliner.htm,2000,legacy,legacy-result,canonical,loaded,Highliner Trophy,
racing1999_2013/racing2000/images/awards1/index1.htm,2000,legacy,gallery,gallery,skipped,Thumbnails,
racing1999_2013/racing2000/images/awards2/index1.htm,2000,legacy,gallery,gallery,skipped,Thumbnails,
racing1999_2013/racing2000/index2.htm,2000,legacy,unknown,unknown,unclassified,Thumbnails,
racing1999_2013/racing2000/jf_stevens.htm,2000,legacy,legacy-result,canonical,loaded,J.F.STEVENS,
racing1999_2013/racing2000/ladies_helm.htm,2000,legacy,legacy-result,canonical,loaded,Ladies Helm - Crew Trophy,
racing1999_2013/racing2000/leeward.htm,2000,legacy,legacy-result,canonical,loaded,Leeward Island Race,
racing1999_2013/racing2000/macdonald.htm,2000,legacy,legacy-result,canonical,loaded,MacDonald Trophy,
racing1999_2013/racing2000/mahone_bay.htm,2000,legacy,legacy-result,canonical,loaded,MAHONE BAY CHALLENGE,
racing1999_2013/racing2000/martin_fielding.htm,2000,legacy,legacy-result,canonical,loaded,Martin Fielding T,
racing1999_2013/racing2000/ocean.htm,2000,legacy,legacy-result,canonical,loaded,Ocean Tray,
racing1999_2013/racing2000/paceship1.htm,2000,legacy,legacy-result,canonical,loaded,PACESHIP SERIES,
racing1999_2013/racing2000/paceship2.htm,2000,legacy,legacy-result,canonical,loaded,PACESHIP SERIES,
racing1999_2013/racing2000/paceship3.htm,2000,legacy,legacy-result,canonical,loaded,PACESHIP SERIES,
racing1999_2013/racing2000/paceship4.htm,2000,legacy,legacy-result,canonical,loaded,Paceship Series,
racing1999_2013/racing2000/paceship_series.htm,2000,legacy,legacy-result,canonical,loaded,Paceship Series,
racing1999_2013/racing2000/photos.htm,2000,legacy,gallery,gallery,skipped,LYC Racing 2000 Photos,
racing1999_2013/racing2000/racing.htm,2000,legacy,legacy-index,index,skipped,Lunenburg Yacht Club Racing 2000,
racing1999_2013/racing2000/sauerkraut.htm,2000,legacy,legacy-result,canonical,loaded,Sauerkraut Ocean Race,
racing1999_2013/racing2000/scotia1.htm,2000,legacy,legacy-result,canonical,loaded,Scotia Trawler Series,
