year,course,date,baseline_wind_kts,band_+0,winner_+0,rank_changes_+0,band_+3,winner_+3,rank_changes_+3,band_+5,winner_+5,rank_changes_+5,band_+7,winner_+7,rank_changes_+7
2014,Boland's Cup,27/07/14,12.6,medium,Shenanagans,3,high,Gosling,2,high,Gosling,2,high,Gosling,2
2014,Leeward Island,22/06/14,4.7,low,Shenanagans,0,low,Shenanagans,0,medium,Shenanagans,0,medium,Shenanagans,0
2014,RG Smith (Tancook),31/08/14,11.9,medium,Scotch Mist,0,high,Scotch Mist,0,high,Scotch Mist,0,high,Scotch Mist,0
2015,Boland's Cup,26/07/15,9.6,medium,Shenanagans,0,medium,Shenanagans,0,high,Shenanagans,0,high,Shenanagans,0
2015,Leeward Island,05/07/15,5.7,low,Ping,8,low,Ping,8,medium,Ping,8,medium,Ping,8
2015,RG Smith (Tancook),30/08/15,7.3,low,Ping,4,medium,Ping,4,medium,Ping,4,high,Scotch Mist,0
2016,Boland's Cup,21/08/16,9.2,medium,Echo,6,medium,Echo,6,high,Echo,5,high,Echo,5
2016,Leeward Island,24/07/16,5.1,low,Shenanagans,2,low,Shenanagans,2,medium,Shenanagans,0,medium,Shenanagans,0
2016,RG Smith (Tancook),04/09/16,8.4,low,Ping,0,medium,Ping,0,medium,Ping,0,high,Ping,0
2017,Boland's Cup,27/08/17,2.8,low,Mojo,0,low,Mojo,0,low,Mojo,0,medium,Mojo,0
2017,Leeward Island,30/07/17,7.8,low,SOT After,6,medium,SOT After,6,medium,SOT After,6,high,Scotch Mist,5
2017,RG Smith (Tancook),03/09/17,9.1,medium,Echo,2,medium,Echo,2,high,Buzz,3,high,Buzz,3
2018,Boland's Cup,26/08/18,9.0,low,Echo,2,medium,Echo,4,high,Echo,4,high,Echo,4
2018,Leeward Island,22/07/18,9.6,medium,So-Gnarly,4,medium,So-Gnarly,4,high,So-Gnarly,4,high,So-Gnarly,4
2018,RG Smith (Tancook),02/09/18,9.3,medium,Mojo,2,medium,Mojo,2,high,Mojo,2,high,Mojo,2
2019,Boland's Cup,11/08/19,10.4,medium,Ping,4,medium,Ping,4,high,Ping,4,high,Ping,4
2019,Leeward Island,23/06/19,13.6,medium,Buzz 105,0,high,Buzz 105,0,high,Buzz 105,0,high,Buzz 105,0
2019,RG Smith (Tancook),01/09/19,2.4,low,Paradigm Shift,0,low,Paradigm Shift,0,low,Paradigm Shift,0,medium,Paradigm Shift,0
2020,Boland's Cup,09/08/20,6.4,low,Mojo,2,medium,Mojo,2,medium,Mojo,2,medium,Mojo,2
2020,Leeward Island,26/07/20,7.3,low,Mojo,2,medium,Mojo,2,medium,Mojo,2,high,Mojo,0
2020,RG Smith (Tancook),06/09/20,7.9,low,Paradigm Shift,2,medium,Paradigm Shift,0,medium,Paradigm Shift,0,high,Paradigm Shift,0
2021,Leeward Island,25/07/21,9.6,medium,SOT After,3,medium,SOT After,3,high,SOT After,2,high,SOT After,2
2021,RG Smith (Tancook),05/09/21,5.4,low,Mojo,3,low,Mojo,3,medium,Mojo,3,medium,Mojo,3
2022,Boland's Cup,24/07/22,8.4,low,Mojo,0,medium,Mojo,0,medium,Mojo,0,high,Poohsticks,2
2022,Leeward Island,21/08/22,5.9,low,Shenanagans,4,low,Shenanagans,4,medium,Shenanagans,4,medium,Shenanagans,4
2022,RG Smith (Tancook),04/09/22,6.1,low,Mojo,0,medium,Mojo,0,medium,Mojo,0,medium,Mojo,0
2025,Boland's Cup,20/07/25,10.2,medium,Echo,2,medium,Echo,2,high,Echo,2,high,Echo,2
2025,Leeward Island,,,medium,Poohsticks,2,medium,Poohsticks,2,medium,Poohsticks,2,medium,Poohsticks,2
2025,RG Smith (Tancook),30/08/25,8.7,low,Mojo,0,medium,Mojo,0,medium,Mojo,0,high,Mojo,0
